Rainfall - (MM), Year, Statistics, Country, ISO3
5.38695, 2000, Dec Average, Algeria, DZA
10.5775, 2001, Jan Average, Algeria, DZA
6.22409, 2001, Feb Average, Algeria, DZA
0.82146, 2001, Mar Average, Algeria, DZA
5.15574, 2001, Apr Average, Algeria, DZA
3.69983, 2001, May Average, Algeria, DZA
0.3213, 2001, Jun Average, Algeria, DZA
0.22014, 2001, Jul Average, Algeria, DZA
4.54609, 2001, Aug Average, Algeria, DZA
7.25451, 2001, Sep Average, Algeria, DZA
2.86952, 2001, Oct Average, Algeria, DZA
8.22052, 2001, Nov Average, Algeria, DZA
10.4727, 2001, Dec Average, Algeria, DZA
2.04008, 2002, Jan Average, Algeria, DZA
2.75176, 2002, Feb Average, Algeria, DZA
6.92366, 2002, Mar Average, Algeria, DZA
6.67997, 2002, Apr Average, Algeria, DZA
4.72799, 2002, May Average, Algeria, DZA
0.82338, 2002, Jun Average, Algeria, DZA
3.30677, 2002, Jul Average, Algeria, DZA
7.73001, 2002, Aug Average, Algeria, DZA
3.33754, 2002, Sep Average, Algeria, DZA
6.71756, 2002, Oct Average, Algeria, DZA
14.4504, 2002, Nov Average, Algeria, DZA
8.11799, 2002, Dec Average, Algeria, DZA
20.1689, 2003, Jan Average, Algeria, DZA
9.96454, 2003, Feb Average, Algeria, DZA
6.31655, 2003, Mar Average, Algeria, DZA
8.46228, 2003, Apr Average, Algeria, DZA
4.03481, 2003, May Average, Algeria, DZA
1.42956, 2003, Jun Average, Algeria, DZA
3.3415, 2003, Jul Average, Algeria, DZA
13.4946, 2003, Aug Average, Algeria, DZA
6.39991, 2003, Sep Average, Algeria, DZA
11.2926, 2003, Oct Average, Algeria, DZA
9.66856, 2003, Nov Average, Algeria, DZA
12.6551, 2003, Dec Average, Algeria, DZA
10.5395, 2004, Jan Average, Algeria, DZA
4.00866, 2004, Feb Average, Algeria, DZA
8.15368, 2004, Mar Average, Algeria, DZA
11.2406, 2004, Apr Average, Algeria, DZA
12.2259, 2004, May Average, Algeria, DZA
3.1601, 2004, Jun Average, Algeria, DZA
3.3786, 2004, Jul Average, Algeria, DZA
4.81188, 2004, Aug Average, Algeria, DZA
4.38022, 2004, Sep Average, Algeria, DZA
5.12852, 2004, Oct Average, Algeria, DZA
17.7802, 2004, Nov Average, Algeria, DZA
16.3861, 2004, Dec Average, Algeria, DZA
4.8367, 2005, Jan Average, Algeria, DZA
13.8823, 2005, Feb Average, Algeria, DZA
4.96341, 2005, Mar Average, Algeria, DZA
3.13139, 2005, Apr Average, Algeria, DZA
1.32183, 2005, May Average, Algeria, DZA
2.03369, 2005, Jun Average, Algeria, DZA
1.61702, 2005, Jul Average, Algeria, DZA
4.21241, 2005, Aug Average, Algeria, DZA
7.16446, 2005, Sep Average, Algeria, DZA
5.51716, 2005, Oct Average, Algeria, DZA
11.0387, 2005, Nov Average, Algeria, DZA
9.61196, 2005, Dec Average, Algeria, DZA
18.3059, 2006, Jan Average, Algeria, DZA
10.6701, 2006, Feb Average, Algeria, DZA
2.5258, 2006, Mar Average, Algeria, DZA
4.82243, 2006, Apr Average, Algeria, DZA
13.6993, 2006, May Average, Algeria, DZA
1.53037, 2006, Jun Average, Algeria, DZA
6.78148, 2006, Jul Average, Algeria, DZA
3.08186, 2006, Aug Average, Algeria, DZA
7.69087, 2006, Sep Average, Algeria, DZA
5.10101, 2006, Oct Average, Algeria, DZA
6.54225, 2006, Nov Average, Algeria, DZA
15.4317, 2006, Dec Average, Algeria, DZA
2.70305, 2007, Jan Average, Algeria, DZA
5.37522, 2007, Feb Average, Algeria, DZA
11.1402, 2007, Mar Average, Algeria, DZA
12.4836, 2007, Apr Average, Algeria, DZA
3.14085, 2007, May Average, Algeria, DZA
1.81008, 2007, Jun Average, Algeria, DZA
3.53038, 2007, Jul Average, Algeria, DZA
12.9864, 2007, Aug Average, Algeria, DZA
7.32643, 2007, Sep Average, Algeria, DZA
10.6817, 2007, Oct Average, Algeria, DZA
7.93658, 2007, Nov Average, Algeria, DZA
8.79186, 2007, Dec Average, Algeria, DZA
3.25495, 2008, Jan Average, Algeria, DZA
5.03295, 2008, Feb Average, Algeria, DZA
5.49846, 2008, Mar Average, Algeria, DZA
1.80281, 2008, Apr Average, Algeria, DZA
8.81084, 2008, May Average, Algeria, DZA
2.54252, 2008, Jun Average, Algeria, DZA
2.39142, 2008, Jul Average, Algeria, DZA
7.03466, 2008, Aug Average, Algeria, DZA
9.09106, 2008, Sep Average, Algeria, DZA
13.0342, 2008, Oct Average, Algeria, DZA
8.01131, 2008, Nov Average, Algeria, DZA
12.9573, 2008, Dec Average, Algeria, DZA
19.6374, 2009, Jan Average, Algeria, DZA
6.43202, 2009, Feb Average, Algeria, DZA
13.3353, 2009, Mar Average, Algeria, DZA
9.32203, 2009, Apr Average, Algeria, DZA
4.37948, 2009, May Average, Algeria, DZA
1.0344, 2009, Jun Average, Algeria, DZA
2.55208, 2009, Jul Average, Algeria, DZA
5.48872, 2009, Aug Average, Algeria, DZA
15.0136, 2009, Sep Average, Algeria, DZA
2.34864, 2009, Oct Average, Algeria, DZA
4.26749, 2009, Nov Average, Algeria, DZA
8.02616, 2009, Dec Average, Algeria, DZA
9.37022, 2010, Jan Average, Algeria, DZA
10.4939, 2010, Feb Average, Algeria, DZA
7.60012, 2010, Mar Average, Algeria, DZA
6.84542, 2010, Apr Average, Algeria, DZA
5.55251, 2010, May Average, Algeria, DZA
6.40218, 2010, Jun Average, Algeria, DZA
6.73834, 2010, Jul Average, Algeria, DZA
8.04884, 2010, Aug Average, Algeria, DZA
6.03573, 2010, Sep Average, Algeria, DZA
11.683, 2010, Oct Average, Algeria, DZA
10.3759, 2010, Nov Average, Algeria, DZA
3.79826, 2010, Dec Average, Algeria, DZA
5.53622, 2011, Jan Average, Algeria, DZA
8.91937, 2011, Feb Average, Algeria, DZA
10.0905, 2011, Mar Average, Algeria, DZA
11.7525, 2011, Apr Average, Algeria, DZA
12.3967, 2011, May Average, Algeria, DZA
4.50567, 2011, Jun Average, Algeria, DZA
5.21936, 2011, Jul Average, Algeria, DZA
6.26064, 2011, Aug Average, Algeria, DZA
3.33887, 2011, Sep Average, Algeria, DZA
11.716, 2011, Oct Average, Algeria, DZA
10.3152, 2011, Nov Average, Algeria, DZA
5.44152, 2011, Dec Average, Algeria, DZA
7.4149, 2012, Jan Average, Algeria, DZA
11.1492, 2012, Feb Average, Algeria, DZA
10.6923, 2012, Mar Average, Algeria, DZA
12.9353, 2012, Apr Average, Algeria, DZA
2.11739, 2012, May Average, Algeria, DZA
1.65078, 2012, Jun Average, Algeria, DZA
1.4676, 2012, Jul Average, Algeria, DZA
5.48352, 2012, Aug Average, Algeria, DZA
4.78448, 2012, Sep Average, Algeria, DZA
10.9576, 2012, Oct Average, Algeria, DZA
11.5797, 2012, Nov Average, Algeria, DZA
2.55473, 2012, Dec Average, Algeria, DZA
8.76791, 2013, Jan Average, Algeria, DZA
8.92865, 2013, Feb Average, Algeria, DZA
8.63131, 2013, Mar Average, Algeria, DZA
11.1676, 2013, Apr Average, Algeria, DZA
6.0158, 2013, May Average, Algeria, DZA
1.3322, 2013, Jun Average, Algeria, DZA
1.47446, 2013, Jul Average, Algeria, DZA
8.46881, 2013, Aug Average, Algeria, DZA
4.9445, 2013, Sep Average, Algeria, DZA
3.84127, 2013, Oct Average, Algeria, DZA
10.3074, 2013, Nov Average, Algeria, DZA
12.1482, 2013, Dec Average, Algeria, DZA
8.16066, 2014, Jan Average, Algeria, DZA
5.15702, 2014, Feb Average, Algeria, DZA
9.59921, 2014, Mar Average, Algeria, DZA
1.19663, 2014, Apr Average, Algeria, DZA
9.74257, 2014, May Average, Algeria, DZA
4.28901, 2014, Jun Average, Algeria, DZA
1.62548, 2014, Jul Average, Algeria, DZA
2.54547, 2014, Aug Average, Algeria, DZA
5.22667, 2014, Sep Average, Algeria, DZA
3.22473, 2014, Oct Average, Algeria, DZA
14.0474, 2014, Nov Average, Algeria, DZA
9.50248, 2014, Dec Average, Algeria, DZA
8.26594, 2015, Jan Average, Algeria, DZA
15.258, 2015, Feb Average, Algeria, DZA
7.24103, 2015, Mar Average, Algeria, DZA
0.60788, 2015, Apr Average, Algeria, DZA
2.63044, 2015, May Average, Algeria, DZA
1.46714, 2015, Jun Average, Algeria, DZA
2.1895, 2015, Jul Average, Algeria, DZA
15.6384, 2015, Aug Average, Algeria, DZA
10.2879, 2015, Sep Average, Algeria, DZA
10.0686, 2015, Oct Average, Algeria, DZA
4.31705, 2015, Nov Average, Algeria, DZA
0.16982, 2015, Dec Average, Algeria, DZA
3.34047, 2016, Jan Average, Algeria, DZA
5.96976, 2016, Feb Average, Algeria, DZA
8.00315, 2016, Mar Average, Algeria, DZA
5.39214, 2016, Apr Average, Algeria, DZA
6.68445, 2016, May Average, Algeria, DZA
1.6623, 2016, Jun Average, Algeria, DZA
1.64392, 2016, Jul Average, Algeria, DZA
2.90511, 2016, Aug Average, Algeria, DZA
6.77407, 2016, Sep Average, Algeria, DZA
2.04063, 2016, Oct Average, Algeria, DZA
9.36787, 2016, Nov Average, Algeria, DZA
11.6125, 2016, Dec Average, Algeria, DZA
163.548, 1991, Jan Average, Antigua and Barbuda, ATG
104.716, 1991, Feb Average, Antigua and Barbuda, ATG
169.743, 1991, Mar Average, Antigua and Barbuda, ATG
173.657, 1991, Apr Average, Antigua and Barbuda, ATG
165.69, 1991, May Average, Antigua and Barbuda, ATG
111.618, 1991, Jun Average, Antigua and Barbuda, ATG
149.86, 1991, Jul Average, Antigua and Barbuda, ATG
148.991, 1991, Aug Average, Antigua and Barbuda, ATG
247.028, 1991, Sep Average, Antigua and Barbuda, ATG
163.315, 1991, Oct Average, Antigua and Barbuda, ATG
382.52, 1991, Nov Average, Antigua and Barbuda, ATG
170.345, 1991, Dec Average, Antigua and Barbuda, ATG
123.618, 1992, Jan Average, Antigua and Barbuda, ATG
91.5628, 1992, Feb Average, Antigua and Barbuda, ATG
105.967, 1992, Mar Average, Antigua and Barbuda, ATG
150.592, 1992, Apr Average, Antigua and Barbuda, ATG
416.424, 1992, May Average, Antigua and Barbuda, ATG
216.328, 1992, Jun Average, Antigua and Barbuda, ATG
149.243, 1992, Jul Average, Antigua and Barbuda, ATG
251.319, 1992, Aug Average, Antigua and Barbuda, ATG
337.017, 1992, Sep Average, Antigua and Barbuda, ATG
213.445, 1992, Oct Average, Antigua and Barbuda, ATG
528.19, 1992, Nov Average, Antigua and Barbuda, ATG
450.842, 1992, Dec Average, Antigua and Barbuda, ATG
248.058, 1993, Jan Average, Antigua and Barbuda, ATG
73.2963, 1993, Feb Average, Antigua and Barbuda, ATG
159.377, 1993, Mar Average, Antigua and Barbuda, ATG
170.629, 1993, Apr Average, Antigua and Barbuda, ATG
534.675, 1993, May Average, Antigua and Barbuda, ATG
158.666, 1993, Jun Average, Antigua and Barbuda, ATG
186.056, 1993, Jul Average, Antigua and Barbuda, ATG
103.939, 1993, Aug Average, Antigua and Barbuda, ATG
262.997, 1993, Sep Average, Antigua and Barbuda, ATG
153.718, 1993, Oct Average, Antigua and Barbuda, ATG
228.503, 1993, Nov Average, Antigua and Barbuda, ATG
243.781, 1993, Dec Average, Antigua and Barbuda, ATG
170.623, 1994, Jan Average, Antigua and Barbuda, ATG
87.96, 1994, Feb Average, Antigua and Barbuda, ATG
55.9395, 1994, Mar Average, Antigua and Barbuda, ATG
141.586, 1994, Apr Average, Antigua and Barbuda, ATG
113.763, 1994, May Average, Antigua and Barbuda, ATG
120.28, 1994, Jun Average, Antigua and Barbuda, ATG
45.1678, 1994, Jul Average, Antigua and Barbuda, ATG
145.521, 1994, Aug Average, Antigua and Barbuda, ATG
273.131, 1994, Sep Average, Antigua and Barbuda, ATG
221.688, 1994, Oct Average, Antigua and Barbuda, ATG
140.692, 1994, Nov Average, Antigua and Barbuda, ATG
188.309, 1994, Dec Average, Antigua and Barbuda, ATG
76.1012, 1995, Jan Average, Antigua and Barbuda, ATG
160.083, 1995, Feb Average, Antigua and Barbuda, ATG
122.017, 1995, Mar Average, Antigua and Barbuda, ATG
109.448, 1995, Apr Average, Antigua and Barbuda, ATG
51.2146, 1995, May Average, Antigua and Barbuda, ATG
84.0337, 1995, Jun Average, Antigua and Barbuda, ATG
201.122, 1995, Jul Average, Antigua and Barbuda, ATG
282.153, 1995, Aug Average, Antigua and Barbuda, ATG
316.185, 1995, Sep Average, Antigua and Barbuda, ATG
304.347, 1995, Oct Average, Antigua and Barbuda, ATG
175.567, 1995, Nov Average, Antigua and Barbuda, ATG
393.335, 1995, Dec Average, Antigua and Barbuda, ATG
188.343, 1996, Jan Average, Antigua and Barbuda, ATG
84.0318, 1996, Feb Average, Antigua and Barbuda, ATG
195.769, 1996, Mar Average, Antigua and Barbuda, ATG
171.218, 1996, Apr Average, Antigua and Barbuda, ATG
63.2223, 1996, May Average, Antigua and Barbuda, ATG
215.29, 1996, Jun Average, Antigua and Barbuda, ATG
419.36, 1996, Jul Average, Antigua and Barbuda, ATG
170.403, 1996, Aug Average, Antigua and Barbuda, ATG
243.558, 1996, Sep Average, Antigua and Barbuda, ATG
333.26, 1996, Oct Average, Antigua and Barbuda, ATG
332.158, 1996, Nov Average, Antigua and Barbuda, ATG
223.106, 1996, Dec Average, Antigua and Barbuda, ATG
168.891, 1997, Jan Average, Antigua and Barbuda, ATG
231.338, 1997, Feb Average, Antigua and Barbuda, ATG
84.9798, 1997, Mar Average, Antigua and Barbuda, ATG
56.4435, 1997, Apr Average, Antigua and Barbuda, ATG
262.714, 1997, May Average, Antigua and Barbuda, ATG
81.623, 1997, Jun Average, Antigua and Barbuda, ATG
353.512, 1997, Jul Average, Antigua and Barbuda, ATG
168.894, 1997, Aug Average, Antigua and Barbuda, ATG
286.258, 1997, Sep Average, Antigua and Barbuda, ATG
375.083, 1997, Oct Average, Antigua and Barbuda, ATG
151.719, 1997, Nov Average, Antigua and Barbuda, ATG
67.7305, 1997, Dec Average, Antigua and Barbuda, ATG
208.314, 1998, Jan Average, Antigua and Barbuda, ATG
45.3162, 1998, Feb Average, Antigua and Barbuda, ATG
112.6, 1998, Mar Average, Antigua and Barbuda, ATG
200.562, 1998, Apr Average, Antigua and Barbuda, ATG
279.836, 1998, May Average, Antigua and Barbuda, ATG
165.511, 1998, Jun Average, Antigua and Barbuda, ATG
198.805, 1998, Jul Average, Antigua and Barbuda, ATG
237.113, 1998, Aug Average, Antigua and Barbuda, ATG
220.162, 1998, Sep Average, Antigua and Barbuda, ATG
409.114, 1998, Oct Average, Antigua and Barbuda, ATG
496.848, 1998, Nov Average, Antigua and Barbuda, ATG
439.973, 1998, Dec Average, Antigua and Barbuda, ATG
177.406, 1999, Jan Average, Antigua and Barbuda, ATG
77.8603, 1999, Feb Average, Antigua and Barbuda, ATG
48.5555, 1999, Mar Average, Antigua and Barbuda, ATG
166.111, 1999, Apr Average, Antigua and Barbuda, ATG
53.7144, 1999, May Average, Antigua and Barbuda, ATG
441.987, 1999, Jun Average, Antigua and Barbuda, ATG
226.588, 1999, Jul Average, Antigua and Barbuda, ATG
291.575, 1999, Aug Average, Antigua and Barbuda, ATG
194.426, 1999, Sep Average, Antigua and Barbuda, ATG
205.119, 1999, Oct Average, Antigua and Barbuda, ATG
425.116, 1999, Nov Average, Antigua and Barbuda, ATG
329.198, 1999, Dec Average, Antigua and Barbuda, ATG
193.737, 2000, Jan Average, Antigua and Barbuda, ATG
223.75, 2000, Feb Average, Antigua and Barbuda, ATG
59.6832, 2000, Mar Average, Antigua and Barbuda, ATG
100.608, 2000, Apr Average, Antigua and Barbuda, ATG
183.055, 2000, May Average, Antigua and Barbuda, ATG
87.7635, 2000, Jun Average, Antigua and Barbuda, ATG
136.229, 2000, Jul Average, Antigua and Barbuda, ATG
166.966, 2000, Aug Average, Antigua and Barbuda, ATG
177.582, 2000, Sep Average, Antigua and Barbuda, ATG
154.872, 2000, Oct Average, Antigua and Barbuda, ATG
377.498, 2000, Nov Average, Antigua and Barbuda, ATG
164.345, 2000, Dec Average, Antigua and Barbuda, ATG
60.4702, 2001, Jan Average, Antigua and Barbuda, ATG
158.065, 2001, Feb Average, Antigua and Barbuda, ATG
54.31, 2001, Mar Average, Antigua and Barbuda, ATG
166.51, 2001, Apr Average, Antigua and Barbuda, ATG
82.8919, 2001, May Average, Antigua and Barbuda, ATG
133.094, 2001, Jun Average, Antigua and Barbuda, ATG
174.839, 2001, Jul Average, Antigua and Barbuda, ATG
355.852, 2001, Aug Average, Antigua and Barbuda, ATG
156.657, 2001, Sep Average, Antigua and Barbuda, ATG
392.934, 2001, Oct Average, Antigua and Barbuda, ATG
187.367, 2001, Nov Average, Antigua and Barbuda, ATG
407.697, 2001, Dec Average, Antigua and Barbuda, ATG
152.928, 2002, Jan Average, Antigua and Barbuda, ATG
109.596, 2002, Feb Average, Antigua and Barbuda, ATG
225.801, 2002, Mar Average, Antigua and Barbuda, ATG
334.781, 2002, Apr Average, Antigua and Barbuda, ATG
134.13, 2002, May Average, Antigua and Barbuda, ATG
196.289, 2002, Jun Average, Antigua and Barbuda, ATG
188.956, 2002, Jul Average, Antigua and Barbuda, ATG
172.099, 2002, Aug Average, Antigua and Barbuda, ATG
283.787, 2002, Sep Average, Antigua and Barbuda, ATG
314.982, 2002, Oct Average, Antigua and Barbuda, ATG
256.642, 2002, Nov Average, Antigua and Barbuda, ATG
164.812, 2002, Dec Average, Antigua and Barbuda, ATG
148.851, 2003, Jan Average, Antigua and Barbuda, ATG
135.212, 2003, Feb Average, Antigua and Barbuda, ATG
51.9546, 2003, Mar Average, Antigua and Barbuda, ATG
149.507, 2003, Apr Average, Antigua and Barbuda, ATG
123.706, 2003, May Average, Antigua and Barbuda, ATG
140.657, 2003, Jun Average, Antigua and Barbuda, ATG
191.158, 2003, Jul Average, Antigua and Barbuda, ATG
288.891, 2003, Aug Average, Antigua and Barbuda, ATG
160.31, 2003, Sep Average, Antigua and Barbuda, ATG
406.148, 2003, Oct Average, Antigua and Barbuda, ATG
327.049, 2003, Nov Average, Antigua and Barbuda, ATG
447.813, 2003, Dec Average, Antigua and Barbuda, ATG
145.172, 2004, Jan Average, Antigua and Barbuda, ATG
145.492, 2004, Feb Average, Antigua and Barbuda, ATG
265.719, 2004, Mar Average, Antigua and Barbuda, ATG
103.437, 2004, Apr Average, Antigua and Barbuda, ATG
441.789, 2004, May Average, Antigua and Barbuda, ATG
172.399, 2004, Jun Average, Antigua and Barbuda, ATG
352.85, 2004, Jul Average, Antigua and Barbuda, ATG
115.321, 2004, Aug Average, Antigua and Barbuda, ATG
266.658, 2004, Sep Average, Antigua and Barbuda, ATG
320.345, 2004, Oct Average, Antigua and Barbuda, ATG
657.364, 2004, Nov Average, Antigua and Barbuda, ATG
205.212, 2004, Dec Average, Antigua and Barbuda, ATG
247.185, 2005, Jan Average, Antigua and Barbuda, ATG
102.632, 2005, Feb Average, Antigua and Barbuda, ATG
42.4345, 2005, Mar Average, Antigua and Barbuda, ATG
265.576, 2005, Apr Average, Antigua and Barbuda, ATG
273.6, 2005, May Average, Antigua and Barbuda, ATG
424.601, 2005, Jun Average, Antigua and Barbuda, ATG
234.251, 2005, Jul Average, Antigua and Barbuda, ATG
434.509, 2005, Aug Average, Antigua and Barbuda, ATG
125.626, 2005, Sep Average, Antigua and Barbuda, ATG
563.096, 2005, Oct Average, Antigua and Barbuda, ATG
354.993, 2005, Nov Average, Antigua and Barbuda, ATG
186.458, 2005, Dec Average, Antigua and Barbuda, ATG
316.394, 2006, Jan Average, Antigua and Barbuda, ATG
96.454, 2006, Feb Average, Antigua and Barbuda, ATG
86.7305, 2006, Mar Average, Antigua and Barbuda, ATG
177.902, 2006, Apr Average, Antigua and Barbuda, ATG
466.696, 2006, May Average, Antigua and Barbuda, ATG
391.52, 2006, Jun Average, Antigua and Barbuda, ATG
324.418, 2006, Jul Average, Antigua and Barbuda, ATG
377.87, 2006, Aug Average, Antigua and Barbuda, ATG
168.597, 2006, Sep Average, Antigua and Barbuda, ATG
296.081, 2006, Oct Average, Antigua and Barbuda, ATG
285.105, 2006, Nov Average, Antigua and Barbuda, ATG
205.343, 2006, Dec Average, Antigua and Barbuda, ATG
184.555, 2007, Jan Average, Antigua and Barbuda, ATG
122.964, 2007, Feb Average, Antigua and Barbuda, ATG
107.341, 2007, Mar Average, Antigua and Barbuda, ATG
106.02, 2007, Apr Average, Antigua and Barbuda, ATG
148.93, 2007, May Average, Antigua and Barbuda, ATG
200.166, 2007, Jun Average, Antigua and Barbuda, ATG
275.674, 2007, Jul Average, Antigua and Barbuda, ATG
266.336, 2007, Aug Average, Antigua and Barbuda, ATG
289.959, 2007, Sep Average, Antigua and Barbuda, ATG
299.225, 2007, Oct Average, Antigua and Barbuda, ATG
124.293, 2007, Nov Average, Antigua and Barbuda, ATG
290.141, 2007, Dec Average, Antigua and Barbuda, ATG
197.96, 2008, Jan Average, Antigua and Barbuda, ATG
211.633, 2008, Feb Average, Antigua and Barbuda, ATG
124.313, 2008, Mar Average, Antigua and Barbuda, ATG
135.726, 2008, Apr Average, Antigua and Barbuda, ATG
89.4245, 2008, May Average, Antigua and Barbuda, ATG
212.088, 2008, Jun Average, Antigua and Barbuda, ATG
233.994, 2008, Jul Average, Antigua and Barbuda, ATG
443.273, 2008, Aug Average, Antigua and Barbuda, ATG
442.622, 2008, Sep Average, Antigua and Barbuda, ATG
648.129, 2008, Oct Average, Antigua and Barbuda, ATG
232.026, 2008, Nov Average, Antigua and Barbuda, ATG
200.553, 2008, Dec Average, Antigua and Barbuda, ATG
205.908, 2009, Jan Average, Antigua and Barbuda, ATG
51.8191, 2009, Feb Average, Antigua and Barbuda, ATG
69.0438, 2009, Mar Average, Antigua and Barbuda, ATG
138.572, 2009, Apr Average, Antigua and Barbuda, ATG
271.915, 2009, May Average, Antigua and Barbuda, ATG
187.248, 2009, Jun Average, Antigua and Barbuda, ATG
157.798, 2009, Jul Average, Antigua and Barbuda, ATG
172.077, 2009, Aug Average, Antigua and Barbuda, ATG
157.361, 2009, Sep Average, Antigua and Barbuda, ATG
